entity string,id
concept:politicalparty:european_union,0
concept:awardtrophytournament:swiss,1
concept:blog:cbs_sportsline,2
concept:geopoliticallocation:palmas,3
concept:politicsissue:laws,4
concept:city:manchester,5
concept:location:broome_county_new,6
concept:geopoliticallocation:bangor,7
concept:clothing:white_linen_shirt,8
concept:governmentorganization:cfa,9
concept:sportsteam:tarleton_state_texans,10
concept:mammal:household_animals,11
concept:room:townhome,12
concept:city:branson,13
concept:politician:u_s__congress,14
concept:person:t_boone_pickens,15
concept:blog:picasso,16
concept:jobposition:former_associate,17
concept:city:trier,18
concept:bank:mastercard,19
concept:mammal:domestic_animals,20
concept:retailstore:play,21
concept:county:florence,22
concept:clothing:coats,23
concept:professionalorganization:ima,24
concept:company:whec,25
concept:company:red_herring,26
concept:personnorthamerica:kimo,27
concept:professionalorganization:fortune_magazine,28
concept:city:bogota,29
concept:televisionstation:kjla,30
concept:musicalbum:nine_days,31
concept:geopoliticalorganization:capitola,32
concept:website:nikkei,33
concept:radiostation:wtok,34
concept:city:boca_grande,35
concept:academicfield:munich,36
concept:profession:healthcare,37
concept:automobilemaker:des_moines,38
concept:emotion:reduction,39
concept:date:sept__29,40
concept:company:autos,41
concept:sportsteam:maryland_terrapins,42
concept:stateorprovince:rheinland_pfalz,43
concept:musicartist:hootie___the_blowfish,44
concept:city:southampton,45
concept:city:randolph,46
concept:stateorprovince:haute_garonne,47
concept:country:somalia,48
concept:stateorprovince:newark_nj,49
concept:academicfield:natural_gas,50
concept:criminal:bow_mar,51
concept:chemical:regional_offices,52
concept:city:clifton_park,53
concept:geopoliticalorganization:burkina_faso,54
concept:sportsteam:tennesse_titans,55
concept:vegetable:cherry_tomatoes,56
concept:city:santa_barbara_de_nexe,57
concept:bird:oystercatchers,58
concept:country:republic,59
concept:island:jennifer,60
concept:clothing:fleece_jackets,61
concept:bird:sichuan,62
concept:researchproject:pilot_project,63
concept:televisionstation:wctv,64
concept:male:president_g_w__bush,65
concept:stadiumoreventvenue:american_airlines_center,66
concept:university:raiders,67
concept:company:fedex,68
concept:politicsblog:guardian,69
concept:personmexico:jim_rogers,70
concept:website:daily_stock_price_record,71
concept:city:alsip,72
concept:female:nike,73
concept:clothing:white_cotton_shirt,74
concept:city:new_milford,75
concept:televisionstation:wicu_tv,76
concept:person:ron_allen,77
concept:city:streator,78
concept:country:brunei,79
concept:city:zanesville,80
concept:profession:examiner,81
concept:jobposition:managing_partner,82
concept:female:angels,83
concept:biotechcompany:northrop_grumman,84
concept:person:juan_carlos_osorio,85
concept:journalist:dwight_jaynes,86
concept:politicsblog:billboard,87
concept:journalist:steve_rushin,88
concept:company:discovery_communications,89
concept:profession:network,90
concept:celebrity:ryan_key,91
concept:journalist:fred_russell,92
concept:company:pdf_format,93
concept:room:contemporary,94
concept:sportsgame:directv,95
concept:city:aichi,96
concept:geopoliticalorganization:yunnan_province,97
concept:hotel:pan_pacific,98
concept:insect:spider_mites,99
concept:personsouthamerica:campo_grande,100
concept:journalist:linda_ellerbee,101
concept:stadiumoreventvenue:dodge_theatre,102
concept:visualizablething:lille,103
concept:city:new_plymouth,104
concept:chemical:seawater,105
concept:person:julie_aigner_clark,106
concept:company:african_airways,107
concept:personaustralia:david_sylvian,108
concept:profession:associations,109
concept:stateorprovince:cooperation,110
concept:sportsteam:ave_maria_gyrenes,111
concept:terroristorganization:militants,112
concept:geopoliticalorganization:asia,113
concept:politicalparty:zimbabwe_african_peoples_union,114
concept:geopoliticalorganization:maine,115
concept:geopoliticallocation:southern_africa,116
concept:personus:aaron_boone,117
concept:city:luxor,118
concept:sport:pool_water,119
concept:model:jonathan_hunt,120
concept:city:covina,121
concept:stateorprovince:aisne,122
concept:organization:nbs,123
concept:personus:dave_winfield,124
concept:physicalaction:trends,125
concept:programminglanguage:defence,126
concept:mountain:flaxville,127
concept:country:persia,128
concept:journalist:michael_wilbon,129
concept:website:twitter_com,130
concept:city:lyon,131
concept:geopoliticallocation:north_central,132
concept:governmentorganization:federal_ministry,133
concept:charactertrait:dwelling,134
concept:buildingfeature:resources,135
concept:clothing:fishnet_stockings,136
concept:city:campus,137
concept:musicartist:rodney_crowell,138
concept:musicartist:elbow,139
concept:governmentorganization:clients,140
concept:transportation:exemplary,141
concept:governmentorganization:amsterdam_court,142
concept:sportsteam:cal_st__fullerton_titans,143
concept:visualartist:plan,144
concept:eventoutcome:group,145
concept:company:wjct,146
concept:coach:document,147
concept:profession:agriculture,148
concept:beach:mexico_beach,149
concept:city:dispur,150
concept:vertebrate:pygmy_hippos,151
concept:personus:justin_hayward,152
concept:retailstore:homeland,153
concept:athlete:hisanori_takahashi,154
concept:coach:calipari,155
concept:geopoliticallocation:winter_springs,156
concept:company:ptc,157
concept:publication:market_data,158
concept:building:tunnels,159
concept:university:western_washington,160
concept:clothing:black_turtleneck,161
concept:publication:channel_4,162
concept:attraction:california_shows,163
concept:person:zynga,164
concept:hotel:regal,165
concept:bank:priority_international_mail,166
concept:personafrica:condoleezza_rice,167
concept:mlalgorithm:nodes,168
concept:scientist:professor_emeritus,169
concept:city:danvers,170
concept:biotechcompany:boeing,171
concept:company:disney_feature_animation,172
concept:clothing:canvas_shoes,173
concept:religion:tabernacle,174
concept:company:america_online,175
concept:personmexico:charlie_morton,176
concept:bedroomitem:zones,177
concept:language:modern_hebrew,178
concept:professionalorganization:apple_inc,179
concept:musicalbum:three,180
concept:male:h_w__bush,181
concept:governmentorganization:fed,182
concept:newspaper:wtvm,183
concept:biotechcompany:pain,184
concept:visualizablescene:essaouira,185
concept:clothing:underpants,186
concept:city:montauban,187
