Epoch,Step,Loss,Loss pos,Loss neg
1,1,0.3238,0.0738,0.2500
1,2,0.3182,0.0707,0.2475
1,3,0.3185,0.0735,0.2450
1,4,0.3166,0.0740,0.2426
1,5,0.3147,0.0746,0.2401
1,6,0.3069,0.0692,0.2377
1,7,0.3097,0.0745,0.2352
1,8,0.3092,0.0764,0.2328
1,9,0.3047,0.0742,0.2305
1,10,0.3046,0.0765,0.2281
1,11,0.3037,0.0779,0.2257
1,12,0.2984,0.0750,0.2234
1,13,0.2984,0.0773,0.2211
1,14,0.3009,0.0821,0.2188
1,15,0.2967,0.0801,0.2166
1,16,0.2948,0.0805,0.2143
1,17,0.2965,0.0844,0.2121
1,18,0.2909,0.0809,0.2099
1,19,0.2912,0.0835,0.2078
1,20,0.2904,0.0848,0.2057
1,21,0.2910,0.0875,0.2035
1,22,0.2879,0.0865,0.2014
1,23,0.2815,0.0821,0.1994
1,24,0.2847,0.0873,0.1973
1,25,0.2841,0.0888,0.1953
1,26,0.2827,0.0894,0.1933
1,27,0.2824,0.0910,0.1914
1,28,0.2811,0.0917,0.1894
1,29,0.2813,0.0938,0.1875
1,30,0.2797,0.0941,0.1856
1,31,0.2782,0.0945,0.1837
1,32,0.2762,0.0944,0.1818
1,33,0.2748,0.0948,0.1800
1,34,0.2729,0.0948,0.1781
1,35,0.2772,0.1009,0.1763
1,36,0.2752,0.1007,0.1745
1,37,0.2715,0.0988,0.1727
1,38,0.2641,0.0932,0.1709
1,39,0.2635,0.0943,0.1691
1,40,0.2700,0.1026,0.1674
1,41,0.2701,0.1045,0.1655
1,42,0.2653,0.1016,0.1637
1,43,0.2654,0.1034,0.1620
1,44,0.2645,0.1043,0.1601
1,45,0.2685,0.1101,0.1584
1,46,0.2595,0.1032,0.1563
1,47,0.2619,0.1074,0.1545
1,48,0.2609,0.1082,0.1527
1,49,0.2600,0.1094,0.1506
1,50,0.2642,0.1153,0.1489
1,51,0.2574,0.1110,0.1464
1,52,0.2546,0.1099,0.1447
1,53,0.2508,0.1082,0.1426
1,54,0.2517,0.1117,0.1400
1,55,0.2556,0.1179,0.1377
1,56,0.2548,0.1193,0.1355
1,57,0.2481,0.1154,0.1327
1,58,0.2498,0.1200,0.1298
1,59,0.2435,0.1154,0.1281
1,60,0.2468,0.1215,0.1253
1,61,0.2496,0.1270,0.1226
1,62,0.2481,0.1288,0.1192
1,63,0.2414,0.1246,0.1169
1,64,0.2386,0.1252,0.1134
1,65,0.2418,0.1307,0.1110
1,66,0.2453,0.1370,0.1084
1,67,0.2394,0.1341,0.1053
1,68,0.2326,0.1299,0.1027
1,69,0.2340,0.1346,0.0994
1,70,0.2355,0.1384,0.0971
1,71,0.2309,0.1358,0.0952
1,72,0.2339,0.1419,0.0919
1,73,0.2265,0.1362,0.0902
1,74,0.2308,0.1415,0.0893
1,75,0.2310,0.1441,0.0869
1,76,0.2266,0.1411,0.0855
1,77,0.2286,0.1461,0.0825
1,78,0.2313,0.1510,0.0803
1,79,0.2281,0.1448,0.0834
1,80,0.2375,0.1579,0.0796
1,81,0.2235,0.1456,0.0779
1,82,0.2258,0.1499,0.0759
1,83,0.2243,0.1474,0.0769
1,84,0.2239,0.1480,0.0759
1,85,0.2266,0.1514,0.0752
1,86,0.2230,0.1481,0.0749
1,87,0.2254,0.1501,0.0753
1,88,0.2219,0.1483,0.0736
1,89,0.2145,0.1401,0.0744
1,90,0.2137,0.1388,0.0750
1,91,0.2186,0.1423,0.0763
1,92,0.2177,0.1437,0.0740
1,93,0.2247,0.1495,0.0752
1,94,0.2148,0.1392,0.0756
1,95,0.2072,0.1326,0.0746
1,96,0.2080,0.1324,0.0755
1,97,0.2149,0.1387,0.0762
1,98,0.2136,0.1370,0.0766
1,99,0.2070,0.1302,0.0767
1,100,0.2148,0.1375,0.0773
1,101,0.2078,0.1294,0.0783
1,102,0.2143,0.1361,0.0781
1,103,0.2182,0.1390,0.0792
1,104,0.2162,0.1386,0.0776
1,105,0.2050,0.1285,0.0766
1,106,0.2053,0.1278,0.0776
1,107,0.2144,0.1362,0.0782
1,108,0.2157,0.1370,0.0787
1,109,0.2152,0.1375,0.0776
1,110,0.2005,0.1222,0.0782
1,111,0.2066,0.1281,0.0786
1,112,0.2174,0.1406,0.0768
1,113,0.2103,0.1329,0.0774
1,114,0.2104,0.1324,0.0779
1,115,0.2026,0.1279,0.0747
1,116,0.1987,0.1233,0.0754
1,117,0.2136,0.1354,0.0783
1,118,0.2151,0.1379,0.0772
1,119,0.2039,0.1282,0.0757
1,120,0.2041,0.1265,0.0776
1,121,0.2108,0.1324,0.0784
1,122,0.2057,0.1299,0.0758
1,123,0.2074,0.1319,0.0756
1,124,0.1984,0.1211,0.0773
1,125,0.2070,0.1292,0.0778
1,126,0.2010,0.1266,0.0743
1,127,0.1884,0.1135,0.0748
1,128,0.1963,0.1198,0.0765
1,129,0.2072,0.1316,0.0757
1,130,0.1967,0.1198,0.0769
1,131,0.1988,0.1240,0.0748
1,132,0.1963,0.1213,0.0750
1,133,0.1994,0.1240,0.0754
1,134,0.2017,0.1271,0.0746
1,135,0.1954,0.1186,0.0768
1,136,0.1918,0.1169,0.0749
1,137,0.2007,0.1276,0.0731
1,138,0.1894,0.1168,0.0726
1,139,0.1961,0.1225,0.0736
1,140,0.1882,0.1155,0.0727
1,141,0.1969,0.1246,0.0723
1,142,0.1957,0.1238,0.0719
1,143,0.1988,0.1239,0.0749
1,144,0.1942,0.1239,0.0703
1,145,0.2003,0.1282,0.0721
1,146,0.1967,0.1237,0.0730
1,147,0.1830,0.1127,0.0703
1,148,0.1954,0.1224,0.0730
1,149,0.1915,0.1194,0.0721
1,150,0.1918,0.1200,0.0718
1,151,0.1928,0.1198,0.0730
1,152,0.1903,0.1191,0.0712
1,153,0.1849,0.1128,0.0721
1,154,0.1922,0.1215,0.0707
1,155,0.1899,0.1208,0.0692
1,156,0.1809,0.1101,0.0708
1,157,0.1895,0.1212,0.0683
1,158,0.1853,0.1151,0.0701
